,comment,filter,seqtot,seqnum,expType,object,proposer,program,RA,propid,dec,expTime
142,--,N708,168,143,science,G09,LeathaudGreene,Merian,148.6036438604955,2020B-XXXX,1.0394455225329788,600.0
143,--,N708,168,144,science,G09,LeathaudGreene,Merian,148.89843364674334,2020B-XXXX,0.9949449366302382,600.0
144,--,N708,168,145,science,G09,LeathaudGreene,Merian,147.17501242069034,2020B-XXXX,2.748867220980384,600.0
145,--,N708,168,146,science,G09,LeathaudGreene,Merian,147.468720724888,2020B-XXXX,2.6772635653676677,600.0
146,--,N708,168,147,science,G09,LeathaudGreene,Merian,147.76422369060776,2020B-XXXX,2.6333656205284246,600.0
147,--,N708,168,148,science,G09,LeathaudGreene,Merian,148.05968496175336,2020B-XXXX,2.5892072995110182,600.0
148,--,N708,168,149,science,G09,LeathaudGreene,Merian,150.51906534693603,2020B-XXXX,-0.4352624276075967,600.0
149,--,N708,168,150,science,G09,LeathaudGreene,Merian,150.81043582864743,2020B-XXXX,-0.5092314548166366,600.0
150,--,N708,168,151,science,G09,LeathaudGreene,Merian,151.10461931208388,2020B-XXXX,-0.5544616307975939,600.0
151,--,N708,168,152,science,G09,LeathaudGreene,Merian,151.39878751757163,2020B-XXXX,-0.5999253628017722,600.0
152,--,N708,168,153,science,G09,LeathaudGreene,Merian,149.6829714159502,2020B-XXXX,1.139389671993746,600.0
153,--,N708,168,154,science,G09,LeathaudGreene,Merian,149.97541838121583,2020B-XXXX,1.0659885746757283,600.0
154,--,N708,168,155,science,G09,LeathaudGreene,Merian,150.27020613636515,2020B-XXXX,1.0210769975915837,600.0
155,--,N708,168,156,science,G09,LeathaudGreene,Merian,150.5649656746239,2020B-XXXX,0.9759249940314629,600.0
156,--,N708,168,157,science,G09,LeathaudGreene,Merian,148.83728203755211,2020B-XXXX,2.724178683944702,600.0
157,--,N708,168,158,science,G09,LeathaudGreene,Merian,149.13087312354912,2020B-XXXX,2.651367893979918,600.0
158,--,N708,168,159,science,G09,LeathaudGreene,Merian,149.42630607882916,2020B-XXXX,2.6067882397706703,600.0
159,--,N708,168,160,science,G09,LeathaudGreene,Merian,149.72169793785864,2020B-XXXX,2.5619612349776997,600.0
160,--,N708,168,161,science,G09,LeathaudGreene,Merian,151.3626125861571,2020B-XXXX,1.122175884149575,600.0
161,--,N708,168,162,science,G09,LeathaudGreene,Merian,151.65500623355675,2020B-XXXX,1.047649119478241,600.0
162,--,N708,168,163,science,G09,LeathaudGreene,Merian,151.94976303983847,2020B-XXXX,1.0021062491466615,600.0
163,--,N708,168,164,science,G09,LeathaudGreene,Merian,152.24449248063686,2020B-XXXX,0.9563363955094795,600.0
164,--,N708,168,165,science,G09,LeathaudGreene,Merian,150.5105330266284,2020B-XXXX,2.696803147029405,600.0
165,--,N708,168,166,science,G09,LeathaudGreene,Merian,150.80400471500144,2020B-XXXX,2.622839135539458,600.0
166,--,N708,168,167,science,G09,LeathaudGreene,Merian,151.09936658401247,2020B-XXXX,2.5776111560550867,600.0
167,--,N708,168,168,science,G09,LeathaudGreene,Merian,151.39468806285288,2020B-XXXX,2.532149144814004,600.0
